gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin
AC005697.2,-18.940464,,,,,,
AC005699.1,0.0,,,,,,
AC005702.1,0.0,,,,,,
AC005703.1,-15.776013,,,,,,
AC005703.2,0.0,,,,,,
AC005703.3,0.0,,,,,,
AC005703.4,0.0,,,,,,
AC005722.2,-17.382097,,,,,,
AC005722.3,0.0,,,,,,
AC005725.1,-18.935902,,,,,,
AC005726.1,-1.2053624,,,,,,
AC005726.2,0.0,,,,,,
AC005726.4,-16.516375,,,,,,
AC005726.5,-0.23659772,,,,,,
AC005730.2,-0.87412,,,,,,
AC005736.3,0.0,,,,,,
AC005740.3,0.0,,,,,,
AC005740.4,18.591715,,,,,,
AC005746.2,-18.398182,,,,,,
AC005746.3,-16.717505,,,,,,
AC005753.1,0.0,,,,,,
AC005757.1,-17.150743,,,,,,
AC005759.1,-2.5440729,,,,,,
AC005772.1,0.0,,,,,,
AC005774.1,0.0,,,,,,
AC005775.1,0.0,,,,,,
AC005776.2,1.3942493,,,,,,
AC005779.1,1.2311186,,,,,,
AC005779.2,0.0,,,,,,
AC005786.2,-17.913616,,,,,,
AC005786.3,0.0,,,,,,
AC005789.1,0.0,,,,,,
AC005790.1,-0.9124372,,,,,,
AC005808.1,0.0,,,,,,
AC005821.1,-19.80989,,,,,,
AC005823.1,0.0,,,,,,
AC005823.2,0.0,,,,,,
AC005828.1,0.0,,,,,,
AC005828.2,0.0,,,,,,
AC005828.3,18.59864,,,,,,
AC005828.4,18.264389,,,,,,
AC005828.5,-17.948936,,,,,,
AC005832.4,0.0,,,,,,
AC005833.1,0.0,,,,,,
AC005833.2,0.0,,,,,,
AC005833.3,0.0,,,,,,
AC005837.1,0.27281603,,,,,,
AC005837.2,0.0,,,,,,
AC005837.3,-1.4600244,,,22.617836,,,
AC005838.2,1.3040671,,,,,,
