gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
MLPH,0.40496752,1.9749773,0.6855013856088248,1.0,0.006529957612555848,0.0014378145219266715,0.005092143090629176
TIA1,0.4037227,0.24522999,0.686416647923785,1.0,0.05544735937679001,0.051042415528396834,0.004404943848393177
FAM193B,0.40366045,0.604049,0.686462423126851,1.0,0.015122007102760912,0.010064701653486701,0.005057305449274211
FOXF2,0.40303478,1.0953351,0.6869226482456816,1.0,0.010081338068507275,0.0050323508267433505,0.005048987241763924
DNAJC12,0.40283167,1.8717287,0.6870720656539763,1.0,0.007217321571772253,0.002156721782890007,0.005060599788882247
DCAF10,0.40225512,0.29912242,0.6874962848889397,1.0,0.038606942375988086,0.03378864126527678,0.004818301110711305
GPR37,0.40110856,1.733408,0.6883401949702461,1.0,0.007904685530988659,0.002875629043853343,0.005029056487135316
RALGAPA2,0.40108564,0.5158274,0.6883570771345681,1.0,0.026463512429831595,0.021567217828900073,0.004896294600931522
SPACA6P-AS,0.40099064,23.255562,0.6884270191836415,1.0,0.0050406690342536375,0.0,0.0050406690342536375
GSTM1,0.40099064,23.007547,0.6884270191836415,1.0,0.0050406690342536375,0.0,0.0050406690342536375
SORCS2,0.400876,0.87152475,0.6885114355497809,1.0,0.013976400504066903,0.008986340762041696,0.004990059742025207
WDR77,0.40064666,0.9855557,0.6886802799213267,1.0,0.010425020048115477,0.005391804457225018,0.005033215590890459
GOLM1,0.3996115,0.1867393,0.689442684627716,1.0,0.058196815213655634,0.053558590941768514,0.00463822427188712
METTL17,0.39897925,0.5183775,0.6899084857497142,1.0,0.019704433497536946,0.014737598849748382,0.004966834647788564
XYLT2,0.39884824,0.5899248,0.6900050395489312,1.0,0.016840417000801924,0.01186196980589504,0.0049784471949068845
BDNF,0.3979703,1.2713062,0.6906520801045659,1.0,0.008592049490205063,0.0035945363048166786,0.004997513185388385
PCSK5,0.39770496,0.3891084,0.690847685385461,1.0,0.035628365219383666,0.030913012221423435,0.004715352997960231
PPIL3,0.3976984,0.6603592,0.690852515406676,1.0,0.018558826898842938,0.013659237958303379,0.004899588940539559
PIAS3,0.3966141,0.43199405,0.6916520571822576,1.0,0.023599495933096574,0.018691588785046728,0.004907907148049846
RAB42,0.3953365,0.7049079,0.692594556742846,1.0,0.011799747966548287,0.006829618979151689,0.0049701289873965975
TBC1D32,0.39477307,0.8504923,0.6930103745972573,1.0,0.012487111925764693,0.007548526240115025,0.004938585685649668
CTSG,0.39451754,1.832338,0.6931989736517693,1.0,0.00675907893229465,0.0017972681524083393,0.004961810779886311
NIPSNAP1,0.3943865,0.54250824,0.6932956984914045,1.0,0.011799747966548287,0.006829618979151689,0.0049701289873965975
SLC30A1,0.39436686,0.339138,0.6933102076485205,1.0,0.030358574865391223,0.025521207764198417,0.004837367101192806
NEK6,0.39348894,0.5200608,0.6939583979652312,1.0,0.01500744644289151,0.010064701653486701,0.0049427447894048095
AC011043.1,0.39297134,1.8351169,0.6943406449835652,1.0,0.007446442891511055,0.0025161754133716753,0.00493026747813938
HLA-DRA,0.3924243,0.23909093,0.6947447500896703,1.0,0.054301752778096,0.04996405463695183,0.004337698141144167
PIM2,0.39231944,1.0751135,0.6948221933120955,1.0,0.010310459388246077,0.005391804457225018,0.004918654931021059
ST20,0.3918772,23.12525,0.695148941959405,1.0,0.0049261083743842365,0.0,0.0049261083743842365
AL662796.1,0.3918772,23.072678,0.695148941959405,1.0,0.0049261083743842365,0.0,0.0049261083743842365
ALDH1L2,0.3917691,0.44239825,0.6952288224666541,1.0,0.031618742123954637,0.02695902228612509,0.004659719837829545
FZD8,0.39004272,0.8415045,0.696504947842132,1.0,0.014205521823805705,0.009345794392523364,0.004859727431282341
PLD5,0.3897217,1.2565647,0.6967423487711404,1.0,0.00813380685072746,0.003235082674335011,0.0048987241763924485
LPCAT4,0.3895317,0.7513348,0.6968828653552795,1.0,0.014205521823805705,0.009345794392523364,0.004859727431282341
SATB2,0.38945964,0.5705722,0.6969361674701018,1.0,0.021308282735708558,0.01653486700215672,0.004773415733551837
EHBP1,0.3889453,0.21334217,0.6973165941648699,1.0,0.04742811318593195,0.04277498202731848,0.004653131158613474
ADGRD1,0.3883786,0.38915005,0.6977358785926475,1.0,0.038606942375988086,0.03414809489575845,0.004458847480229636
RCAN1,0.38831308,0.3081418,0.6977843567347921,1.0,0.059686103791957844,0.05571531272465852,0.003970791067299327
SEMA6B,0.38702896,2.5188234,0.6987347770891561,1.0,0.006300836292817046,0.0014378145219266715,0.0048630217708903745
ANKRD65,0.38664895,0.3282942,0.6990161145822134,1.0,0.01638217436132432,0.011502516175413372,0.004879658185910948
RHOJ,0.38664895,0.18074214,0.6990161145822134,1.0,0.0677053499828159,0.06362329259525522,0.004082057387560678
TMEM108,0.38649172,1.391388,0.6991325421905495,1.0,0.009508534769160271,0.004672897196261682,0.004835637572898589
CLSTN2,0.38632464,0.5761949,0.6992562542773177,1.0,0.014549203803413908,0.009705248023005032,0.004843955780408877
FOXRED1,0.38602653,0.77483475,0.6994770152848546,1.0,0.012028869286287089,0.007189072609633357,0.004839796676653732
MMAA,0.38545325,1.6260707,0.6999016270759394,1.0,0.006644518272425249,0.0017972681524083393,0.0048472501200169105
GBP4,0.38465723,0.6637932,0.7004913864664684,1.0,0.012028869286287089,0.007189072609633357,0.004839796676653732
WHRN,0.38416585,0.8657208,0.7008555256477074,1.0,0.009508534769160271,0.004672897196261682,0.004835637572898589
