gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane
AC005332.5,-0.5892332,-1.3511753,0.5557048537195322,1.0,0.02385496183206107,0.03451761987290584,-0.010662658040844767,False,False
TFPI2,-0.589586,-1.4598871,0.5554682132815646,1.0,0.03625954198473282,0.046216060080878106,-0.009956518096145284,True,False
KIF22,-0.5905582,-0.8839484,0.5548164994146388,1.0,0.13263358778625955,0.13128249566724437,0.0013510921190151848,False,False
DCX,-0.5922144,-5.9539814,0.5537070337767851,1.0,0.0009541984732824427,0.012276140958983247,-0.011321942485700804,False,False
TMEM79,-0.5932657,-1.7674745,0.5530033285163085,1.0,0.012404580152671756,0.023541305603697285,-0.01113672545102553,False,True
LIPT1,-0.5946123,-1.2148687,0.552102648375482,1.0,0.035305343511450385,0.04549393414211438,-0.010188590630663998,False,False
ZBTB2,-0.59627575,-0.6322801,0.5509910388726522,1.0,0.25763358778625955,0.22920277296360486,0.028430814822654693,False,False
PCDHGB7,-0.59634775,-1.2963341,0.550942942120569,1.0,0.020038167938931296,0.031051415366839977,-0.011013247427908681,False,True
TCHH,-0.5976439,-2.0729628,0.5500775539158942,1.0,0.006679389312977099,0.01805314846909301,-0.011373759156115909,False,False
SPAG1,-0.5977951,-1.2329861,0.5499766355912064,1.0,0.022900763358778626,0.033795493934142114,-0.010894730575363488,False,False
TIGD3,-0.59951615,-3.3051043,0.548828732015106,1.0,0.0028625954198473282,0.014298093587521665,-0.011435498167674337,False,False
BTK,-0.60107875,-1.9243785,0.5477875184891356,1.0,0.0057251908396946565,0.017186597342576545,-0.01146140650288189,False,False
RAB39B,-0.6034263,-2.55819,0.5462251369234301,1.0,0.0057251908396946565,0.017186597342576545,-0.01146140650288189,False,False
AC104407.1,-0.6037287,-23.008055,0.5460240092066835,1.0,0.0,0.011554015020219527,-0.011554015020219527,False,False
PRR19,-0.6037287,-23.016342,0.5460240092066835,1.0,0.0,0.011554015020219527,-0.011554015020219527,False,False
SIK2,-0.60629946,-0.82276356,0.544315907401057,1.0,0.11641221374045801,0.11842865395725015,-0.002016440216792134,False,True
LIPC,-0.6071708,-1.1126641,0.5437375742042401,1.0,0.04198473282442748,0.05199306759098787,-0.010008334766560385,True,False
LINC00473,-0.6072572,-1.8436258,0.5436802355131309,1.0,0.01049618320610687,0.0219526285384171,-0.01145644533231023,False,False
PBX4,-0.60758847,-1.9080037,0.5434604650719672,1.0,0.01049618320610687,0.0219526285384171,-0.01145644533231023,False,False
CETN3,-0.60760283,-0.81873196,0.5434509108385346,1.0,0.12595419847328243,0.12608318890814557,-0.000128990434863141,False,False
POLE4,-0.60836613,-0.39552632,0.5429446561369237,1.0,0.42938931297709926,0.35514153668399767,0.07424777629310159,False,False
AL591895.1,-0.6103248,-1.0344305,0.5416466632588418,1.0,0.025763358778625955,0.03697284806470248,-0.011209489286076527,False,False
SLAIN1,-0.6112753,-23.048634,0.5410173136400125,1.0,0.0,0.01169844020797227,-0.01169844020797227,False,False
TOR1AIP1,-0.61221147,-0.4733873,0.5403978569204752,1.0,0.3387404580152672,0.2900057770075101,0.048734681007757075,False,True
RARRES1,-0.61224025,-1.0817667,0.5403788023401878,1.0,0.07919847328244274,0.08636626227614096,-0.007167788993698215,False,False
FAIM2,-0.61278754,-1.8775158,0.5400168291702128,1.0,0.011450381679389313,0.02296360485268631,-0.011513223173296996,False,True
CLMN,-0.6140477,-1.4369477,0.5391837999305296,1.0,0.01717557251908397,0.02859618717504333,-0.011420614655959359,False,True
SDK1,-0.61425656,-0.6475802,0.5390458172994469,1.0,0.1383587786259542,0.13908145580589254,-0.0007226771799383469,False,True
FAM162B,-0.61628723,-2.1877737,0.5377049785531203,1.0,0.0057251908396946565,0.017475447718082033,-0.011750256878387377,False,True
APOA1,-0.61660403,-1.7551475,0.5374959208247982,1.0,0.012404580152671756,0.023974581166955517,-0.011570001014283762,True,False
LINC00323,-0.6170217,-2.504984,0.5372204071278446,1.0,0.003816793893129771,0.01559792027729636,-0.01178112638416659,False,False
MBOAT1,-0.6170505,-1.5370549,0.537201408799695,1.0,0.011450381679389313,0.023108030040439053,-0.01165764836104974,False,True
PLCL1,-0.6170865,-1.0042142,0.5371776613643473,1.0,0.03148854961832061,0.0426054303870595,-0.011116880768738895,False,False
CHRNA10,-0.6213639,-2.5432496,0.5343602259402485,1.0,0.004770992366412214,0.01660889659156557,-0.011837904225153354,False,True
FOXO6,-0.622192,-1.9428924,0.5338156259253779,1.0,0.013358778625954198,0.024985557481224725,-0.011626778855270527,False,False
CDC20,-0.62262404,-1.8559042,0.5335315981360358,1.0,0.01049618320610687,0.02224147891392259,-0.011745295707815719,False,False
EPB41,-0.6257925,-1.9952085,0.5314510640900862,1.0,0.009541984732824428,0.021374927787406125,-0.011832943054581697,False,True
PCNX2,-0.62630373,-0.82934624,0.5311157273732887,1.0,0.0715648854961832,0.08001155401502022,-0.00844666851883702,False,True
POMZP3,-0.62704545,-0.7964682,0.5306294438425081,1.0,0.06297709923664122,0.07235701906412478,-0.009379919827483568,False,False
PAIP2B,-0.6294362,-1.4351368,0.5290635454817154,1.0,0.01431297709923664,0.026140958983246677,-0.011827981884010037,False,False
NFATC1,-0.6296162,-0.5827283,0.5289457267088312,1.0,0.23473282442748092,0.21519352975158867,0.019539294675892244,False,False
AL049629.1,-0.6297242,-2.745059,0.5288750418546514,1.0,0.004770992366412214,0.016753321779318313,-0.011982329412906098,False,False
MYOM2,-0.6301275,-1.1259372,0.5286111942157175,1.0,0.025763358778625955,0.03726169844020797,-0.011498339661582015,False,False
AL049839.2,-0.6339152,-22.924839,0.5261361865166017,1.0,0.0,0.012131715771230503,-0.012131715771230503,False,False
AMIGO1,-0.6339152,-23.060308,0.5261361865166017,1.0,0.0,0.012131715771230503,-0.012131715771230503,False,True
ARHGEF10L,-0.6340592,-0.56535226,0.5260421967598599,1.0,0.1383587786259542,0.13994800693240902,-0.0015892283064548318,False,False
BORCS7,-0.6356434,-0.26952296,0.5250088761332876,1.0,0.5601145038167938,0.44540727902946275,0.11470722478733109,False,False
MX2,-0.63600343,-0.7274889,0.5247741755254632,1.0,0.125,0.12738301559792028,-0.002383015597920285,False,False
CNNM3,-0.63750124,-1.273103,0.5237983979647456,1.0,0.02480916030534351,0.036395147313691506,-0.011585987008347995,False,True
GALNT12,-0.63925827,-0.8141967,0.5226549229195329,1.0,0.046755725190839696,0.05762564991334489,-0.01086992472250519,False,False
AC023509.4,-0.6393159,-1.7327605,0.5226174536560891,1.0,0.01431297709923664,0.02628538417099942,-0.01197240707176278,False,False
SPTLC3,-0.640108,-1.635646,0.5221023912509187,1.0,0.01431297709923664,0.02628538417099942,-0.01197240707176278,False,True
ZNF546,-0.64067686,-1.5091231,0.5217326438719808,1.0,0.006679389312977099,0.018919699595609473,-0.012240310282632373,False,False
L3MBTL4,-0.6408569,-2.929233,0.5216156632698515,1.0,0.003816793893129771,0.016031195840554593,-0.012214401947424822,False,False
PPP4R4,-0.64126015,-4.325954,0.5213536756959398,1.0,0.0019083969465648854,0.01415366839976892,-0.012245271453204035,False,False
AC018647.1,-0.6438741,-2.8171544,0.5196570786007182,1.0,0.0028625954198473282,0.015164644714038129,-0.0123020492941908,False,False
ABTB1,-0.64421976,-0.78378594,0.5194329486116764,1.0,0.11068702290076336,0.11452917388792605,-0.0038421509871626874,False,False
AL118558.3,-0.6444142,-1.1831326,0.5193068974214017,1.0,0.035305343511450385,0.046504910456383594,-0.01119956694493321,False,False
C1orf54,-0.64504063,-0.61333007,0.5189008399140873,1.0,0.20515267175572519,0.19439630271519354,0.01075636904053165,True,False
PLCB4,-0.6460488,-1.2269652,0.5182477584949087,1.0,0.033396946564885496,0.04462738301559792,-0.011230436450712422,False,False
AC016596.1,-0.6460848,-2.2318323,0.5182244420205413,1.0,0.008587786259541985,0.02079722703639515,-0.012209440776853164,False,False
MAP1LC3A,-0.64640886,-0.2657487,0.5180146181606885,1.0,0.5458015267175572,0.44309647602541885,0.10270505069213837,False,False
