source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,condition
Keratinocyte,Endothelial,CALM1,AQP1,1.9300666,0.0,3.7234282,0.8871308862496666,1.6474875274074807,0.15709823,0.9627991,0.07762764502292402,0.010504608577583403,Keloid
Pericyte_SMC,Endothelial,COL1A1,CD93,1.9797249,0.0,2.3311594,0.5436045094754239,0.48198190734719626,0.13299017,0.9534416,0.1160839844950799,0.011546348128307148,Keloid
Pericyte_SMC,Pericyte_SMC,COL1A1,CD44,1.9797149,0.0,2.3310938,0.14925727406956033,-0.2286524662358438,0.036171842,0.953441,1.0,0.011760452397230024,Keloid
Fibroblast,Keratinocyte,LTBP3,ITGB5,0.18262288,0.0,0.03221917,0.06698002054158415,0.0491474445560548,0.04221876,0.70653045,0.9967985339362349,0.012182726188292168,Keloid
Fibroblast,Endothelial,COL1A1,ITGA5,3.023719,0.0,2.2815418,0.9290667638706112,2.1961875995811315,0.19030654,0.9529618,0.016592169458237466,0.012194408940927786,Keloid
Fibroblast,Keratinocyte,COL6A2,CD44,1.8930265,0.0,2.8845427,0.7719472101104756,1.3716919272003767,0.12084726,0.95794743,0.07762764502292402,0.01241425602867834,Keloid
Fibroblast,Fibroblast,COL1A2,CD44,2.808651,0.0,2.273671,0.5368496455817319,1.2402523943828478,0.039852064,0.95288426,0.5990480457864074,0.012636014580649797,Keloid
Pericyte_SMC,Endothelial,COL1A2,CD93,1.8998463,0.0,2.216213,0.5803380028524456,0.5686897431886133,0.1428142,0.9523064,0.07762764502292402,0.012859683195992542,Keloid
Pericyte_SMC,Pericyte_SMC,COL1A2,CD44,1.8998361,0.0,2.2161505,0.185990767446582,-0.14194463039442673,0.03884387,0.95230573,1.0,0.013085262964195477,Keloid
Keratinocyte,T_cell,CXCL14,CXCR4,1.873526,0.0,3.5095081,1.137992154369641,2.4219026022123975,0.30183733,0.9617248,0.0024468710221102305,0.013085262964195477,Keloid
Fibroblast,Keratinocyte,COL6A1,SDC1,1.9772052,0.0,2.182983,1.0884581664180204,1.9262331921161375,0.3050722,0.9519621,0.003816981588969832,0.013773432827255086,Keloid
Fibroblast,T_cell,COL6A2,CD44,1.863234,0.0,2.7219303,0.7445617953623185,1.5811607217719135,0.11403466,0.956763,0.07762764502292402,0.013773432827255086,Keloid
Myeloid,Fibroblast,TIMP1,CD63,1.8556235,0.0,2.7321994,0.39046378057721537,0.5892202676232228,0.048302624,0.9568408,0.5851061035624265,0.014006633341707849,Keloid
Pericyte_SMC,Keratinocyte,COL1A1,SDC1,1.9516199,0.0,2.1490417,0.5798260814711496,0.35330865726341687,0.13682126,0.9516025,0.2305984188665775,0.014241732961232352,Keloid
Fibroblast,Endothelial,LUM,ITGB1,1.85357,0.0,2.7066627,0.700384953988817,1.4491140791577755,0.09940866,0.9566465,0.07762764502292402,0.014241732961232352,Keloid
